Time ,Sensor 1,Sensor 2 , Gear , Sensor 3 , AVERAGE S1 ,AVERAGE S2  , AVERAGE S3
15:40:17,1092.02,1089.48,10.1,1094.57,1092.09,1088.37,1089.61
15:40:17,1095.85,1090.12,10.1,1088.85,1092.28,1088.44,1089.8
15:40:17,1109.47,1085.07,10.1,1494.02,1109.47,1085.07,1494.02
15:40:18,1090.12,1090.12,10.1,1083.82,1099.79,1087.59,1288.92
15:40:18,1086.33,1093.29,10.1,1098.42,1095.3,1089.49,1225.42
15:40:18,1093.93,1096.49,10.1,1092.66,1094.96,1091.24,1192.23
15:40:18,1094.57,1092.66,10.1,1076.97,1094.88,1091.53,1169.18
15:40:18,1081.31,1088.22,10.1,1087.59,1092.62,1090.97,1155.58
15:40:18,1096.49,1093.93,10.1,1088.85,1093.17,1091.4,1146.05
15:40:18,1089.48,1097.13,10.1,1098.42,1092.71,1092.11,1140.09
15:40:18,1097.13,1097.78,10.1,1095.21,1093.2,1092.74,1135.11
15:40:18,1093.93,1092.66,10.1,1076.35,1093.28,1092.73,1129.23
15:40:18,1079.45,1087.59,10.1,1085.07,1090.27,1092.99,1088.33
15:40:18,1090.12,1090.12,10.1,1083.82,1090.27,1092.99,1088.33
15:40:18,1084.44,1091.39,10.1,1092.66,1090.09,1092.8,1087.76
15:40:18,1092.02,1093.93,10.1,1091.39,1089.9,1092.54,1087.63
15:40:18,1093.29,1091.39,10.1,1075.73,1089.77,1092.41,1087.51
15:40:18,1080.69,1088.22,10.1,1085.7,1089.71,1092.41,1087.32
15:40:18,1095.21,1093.29,10.1,1088.22,1089.58,1092.35,1087.26
15:40:18,1088.85,1098.42,10.1,1097.78,1089.51,1092.48,1087.19
15:40:18,1098.42,1095.85,10.1,1096.49,1089.64,1092.28,1087.32
15:40:18,1094.57,1095.21,10.1,1078.83,1089.71,1092.54,1087.57
15:40:18,1081.31,1088.22,10.1,1087.59,1089.89,1092.6,1087.82
15:40:18,1090.75,1091.39,10.1,1085.07,1089.96,1092.73,1087.94
15:40:18,1086.33,1092.66,10.1,1097.78,1090.14,1092.86,1088.46
15:40:18,1092.02,1095.21,10.1,1092.02,1090.14,1092.98,1088.52
15:40:18,1092.02,1089.48,10.1,1073.88,1090.02,1092.79,1088.33
15:40:18,1078.83,1086.33,10.1,1084.44,1089.83,1092.61,1088.21
15:40:19,1093.29,1090.75,10.1,1086.33,1089.64,1092.35,1088.02
15:40:19,1087.59,1095.85,10.1,1096.49,1089.51,1092.09,1087.89
15:40:19,1097.13,1097.13,10.1,1096.49,1089.38,1092.22,1087.89
15:40:19,1095.85,1095.85,10.1,1079.45,1089.51,1092.29,1087.95
15:40:19,1083.19,1090.12,10.1,1089.48,1089.7,1092.48,1088.14
15:40:19,1093.93,1093.93,10.1,1087.59,1090.02,1092.73,1088.39
15:40:19,1087.59,1094.57,10.1,1098.42,1090.14,1092.92,1088.46
15:40:19,1092.02,1091.39,10.1,1091.39,1090.14,1092.54,1088.4
15:40:19,1092.66,1089.48,10.1,1073.27,1090.21,1092.54,1088.33
15:40:19,1075.73,1085.07,10.1,1082.56,1089.9,1092.41,1088.15
15:40:19,1092.02,1090.12,10.1,1084.44,1089.77,1092.35,1087.96
15:40:19,1086.33,1093.93,10.1,1099.71,1089.64,1092.16,1088.28
15:40:19,1096.49,1095.21,10.1,1094.57,1089.58,1091.97,1088.09
15:40:19,1095.85,1095.21,10.1,1078.83,1089.58,1091.9,1088.03
15:40:19,1084.44,1090.12,10.1,1088.85,1089.71,1091.9,1087.96
15:40:19,1094.57,1095.21,10.1,1088.22,1089.77,1092.03,1088.03
15:40:19,1090.12,1095.21,10.1,1099.71,1090.02,1092.09,1088.15
15:40:19,1093.29,1092.66,10.1,1093.29,1090.15,1092.22,1088.34
15:40:19,1090.75,1090.75,10.1,1073.88,1089.96,1092.35,1088.41
15:40:19,1078.21,1085.07,10.1,1083.82,1090.21,1092.35,1088.53
15:40:19,1090.75,1088.85,10.1,1083.19,1090.08,1092.22,1088.41
15:40:19,1084.44,1093.93,10.1,1099.06,1089.89,1092.22,1088.34
15:40:19,1095.21,1093.29,10.1,1093.29,1089.76,1092.03,1088.21
15:40:19,1092.66,1093.93,10.1,1076.97,1089.44,1091.9,1088.03
15:40:19,1081.94,1088.85,10.1,1088.85,1089.19,1091.78,1088.03
15:40:19,1095.21,1094.57,10.1,1088.85,1089.26,1091.71,1088.09
15:40:19,1090.75,1097.13,10.1,1102.29,1089.32,1091.9,1088.35
15:40:19,1095.85,1096.49,10.1,1094.57,1089.58,1092.29,1088.48
15:40:19,1095.21,1093.29,10.1,1076.35,1090.02,1092.54,1088.72
15:40:19,1078.83,1086.96,10.1,1085.07,1090.08,1092.73,1088.85
15:40:19,1091.39,1089.48,10.1,1084.44,1090.15,1092.79,1088.97
15:40:19,1084.44,1092.66,10.1,1097.13,1090.15,1092.67,1088.78
15:40:19,1093.29,1092.66,10.1,1090.75,1089.96,1092.6,1088.53
15:40:19,1090.75,1092.66,10.1,1076.35,1089.77,1092.48,1088.47
15:40:19,1080.69,1086.96,10.1,1086.33,1089.64,1092.29,1088.21
15:40:19,1093.29,1093.93,10.1,1087.59,1089.45,1092.22,1088.09
15:40:19,1090.12,1096.49,10.1,1102.94,1089.39,1092.16,1088.15
15:40:19,1097.13,1096.49,10.1,1095.85,1089.51,1092.16,1088.28
15:40:19,1093.93,1093.93,10.1,1078.21,1089.39,1092.22,1088.47
15:40:19,1080.69,1087.59,10.1,1086.96,1089.57,1092.28,1088.65
15:40:19,1092.02,1090.75,10.1,1085.07,1089.64,1092.41,1088.72
15:40:19,1085.07,1092.66,10.1,1097.78,1089.7,1092.41,1088.78
15:40:19,1093.93,1091.39,10.1,1091.39,1089.76,1092.28,1088.84
15:40:19,1088.22,1090.12,10.1,1073.27,1089.51,1092.03,1088.54
15:40:19,1080.69,1086.33,10.1,1085.7,1089.51,1091.97,1088.47
15:40:19,1092.66,1092.66,10.1,1085.07,1089.45,1091.84,1088.22
15:40:19,1088.22,1095.21,10.1,1101,1089.26,1091.71,1088.03
15:40:19,1095.21,1095.85,10.1,1093.93,1089.06,1091.65,1087.84
15:40:19,1094.57,1095.21,10.1,1078.21,1089.13,1091.78,1087.84
15:40:19,1081.94,1090.12,10.1,1088.22,1089.25,1092.03,1087.96
15:40:19,1094.57,1088.22,10.1,1087.59,1089.51,1091.77,1088.21
15:40:19,1086.96,1095.21,10.1,1099.71,1089.7,1092.03,1088.41
15:40:19,1093.93,1092.02,10.1,1092.66,1089.7,1092.09,1088.53
15:40:19,1088.85,1091.39,10.1,1073.88,1089.76,1092.22,1088.6
15:40:19,1078.21,1084.44,10.1,1083.82,1089.51,1092.03,1088.41
15:40:19,1090.75,1091.39,10.1,1084.44,1089.32,1091.91,1088.34
15:40:19,1086.33,1093.29,10.1,1098.42,1089.13,1091.71,1088.09
15:40:19,1094.57,1095.21,10.1,1093.29,1089.07,1091.65,1088.02
15:40:19,1093.93,1093.93,10.1,1078.21,1089,1091.52,1088.02
15:40:19,1083.19,1091.39,10.1,1087.59,1089.13,1091.65,1087.96
15:40:19,1096.49,1095.21,10.1,1089.48,1089.32,1092.35,1088.15
15:40:19,1088.85,1096.49,10.1,1102.29,1089.51,1092.48,1088.41
15:40:19,1095.21,1093.29,10.1,1093.93,1089.64,1092.6,1088.54
15:40:19,1090.75,1091.39,10.1,1074.5,1089.83,1092.6,1088.6
15:40:19,1078.83,1085.07,10.1,1088.85,1089.89,1092.67,1089.1
15:40:19,1089.48,1084.44,10.1,1083.19,1089.76,1091.97,1088.98
15:40:19,1085.07,1092.02,10.1,1097.78,1089.64,1091.84,1088.91
15:40:19,1093.29,1093.93,10.1,1092.02,1089.51,1091.72,1088.78
15:40:19,1092.66,1092.66,10.1,1076.35,1089.38,1091.59,1088.6
15:40:19,1081.94,1089.48,10.1,1094.57,1089.26,1091.4,1089.3
15:40:19,1096.49,1093.93,10.1,1088.85,1089.26,1091.27,1089.23
15:40:19,1089.48,1097.78,10.1,1102.94,1089.32,1091.4,1089.3
15:40:19,1097.78,1095.21,10.1,1095.85,1089.58,1091.59,1089.49
15:40:19,1091.39,1094.57,10.1,1076.97,1089.64,1091.91,1089.74
15:40:19,1080.07,1085.7,10.1,1086.33,1089.76,1091.97,1089.48
15:40:19,1090.75,1085.07,10.1,1085.07,1089.89,1092.03,1089.67
15:40:19,1092.66,1091.39,10.1,1097.13,1090.65,1091.97,1089.61
15:40:19,1091.39,1092.02,10.1,1089.48,1090.46,1091.78,1089.35
15:40:19,1091.39,1090.75,10.1,1075.73,1090.33,1091.59,1089.29
15:40:19,1080.07,1087.59,10.1,1091.39,1090.15,1091.4,1088.97
15:40:19,1095.21,1088.85,10.1,1088.22,1090.02,1090.89,1088.91
15:40:19,1096.49,1097.78,10.1,1102.29,1090.72,1090.89,1088.85
15:40:19,1098.42,1097.13,10.1,1097.13,1090.78,1091.08,1088.97
15:40:19,1093.93,1095.85,10.1,1078.21,1091.04,1091.21,1089.1
15:40:19,1082.56,1087.59,10.1,1091.39,1091.29,1091.4,1089.6
15:40:19,1092.02,1087.59,10.1,1085.7,1091.41,1091.65,1089.67
15:40:19,1086.33,1092.02,10.1,1097.13,1090.78,1091.72,1089.67
15:40:19,1091.39,1091.39,10.1,1090.12,1090.78,1091.65,1089.73
15:40:19,1090.12,1089.48,10.1,1073.27,1090.65,1091.53,1089.48
15:40:19,1078.21,1086.96,10.1,1091.39,1090.47,1091.46,1089.48
15:40:20,1093.93,1086.33,10.1,1085.7,1090.34,1091.21,1089.23
15:40:20,1095.85,1096.49,10.1,1101,1090.28,1091.08,1089.1
15:40:20,1096.49,1094.57,10.1,1096.49,1090.08,1090.83,1089.04
15:40:20,1094.57,1096.49,10.1,1078.83,1090.15,1090.89,1089.1
15:40:20,1081.94,1089.48,10.1,1093.29,1090.08,1091.08,1089.29
15:40:20,1093.93,1088.22,10.1,1086.96,1090.28,1091.14,1089.42
15:40:20,1094.57,1093.93,10.1,1099.71,1091.1,1091.33,1089.67
15:40:20,1092.66,1092.66,10.1,1090.75,1091.23,1091.46,1089.74
15:40:20,1090.12,1090.12,10.1,1073.88,1091.23,1091.52,1089.8
15:40:20,1077.59,1085.07,10.1,1088.22,1091.16,1091.34,1089.48
15:40:20,1092.66,1085.7,10.1,1085.07,1091.04,1091.27,1089.42
15:40:20,1092.66,1093.93,10.1,1097.78,1090.72,1091.02,1089.1
15:40:20,1094.57,1093.29,10.1,1093.93,1090.53,1090.89,1088.84
15:40:20,1093.29,1095.21,10.1,1077.59,1090.4,1090.76,1088.72
15:40:20,1082.56,1088.85,10.1,1094.57,1090.46,1090.7,1088.84
15:40:20,1095.21,1090.12,10.1,1088.22,1090.59,1090.89,1088.97
15:40:20,1096.49,1096.49,10.1,1101.65,1090.78,1091.14,1089.16
15:40:20,1094.57,1093.93,10.1,1093.29,1090.97,1091.27,1089.42
15:40:20,1090.75,1078.21,10.1,1075.73,1091.04,1090.08,1089.6
15:40:20,1078.21,1085.07,10.1,1089.48,1091.1,1090.08,1089.73
15:40:20,1092.02,1083.19,10.1,1083.82,1091.03,1089.83,1089.61
15:40:20,1092.02,1093.29,10.1,1097.78,1090.97,1089.77,1089.61
15:40:20,1093.29,1092.02,10.1,1092.66,1090.84,1089.64,1089.48
15:40:20,1091.39,1092.66,10.1,1075.73,1090.65,1089.38,1089.29
15:40:20,1081.94,1088.22,10.1,1092.66,1090.59,1089.32,1089.1
15:40:20,1094.57,1089.48,10.1,1087.59,1090.53,1089.26,1089.04
15:40:20,1097.78,1096.49,10.1,1102.94,1090.65,1089.26,1089.17
15:40:20,1095.85,1095.85,10.1,1094.57,1090.78,1089.45,1089.29
15:40:20,1093.29,1092.66,10.1,1076.97,1091.04,1090.89,1089.42
15:40:20,1079.45,1086.96,10.1,1090.12,1091.16,1091.08,1089.48
15:40:20,1092.66,1085.07,10.1,1085.07,1091.22,1091.27,1089.61
15:40:20,1091.39,1092.66,10.1,1097.13,1091.16,1091.21,1089.54
15:40:20,1092.02,1090.12,10.1,1092.02,1091.03,1091.02,1089.48
15:40:20,1089.48,1078.83,10.1,1073.88,1090.84,1089.63,1089.29
15:40:20,1079.45,1085.7,10.1,1090.75,1090.59,1089.38,1089.1
15:40:20,1093.29,1088.85,10.1,1086.33,1090.47,1089.32,1088.98
15:40:20,1097.13,1095.85,10.1,1101,1090.4,1089.25,1088.78
15:40:20,1097.13,1097.13,10.1,1097.78,1090.53,1089.38,1089.1
15:40:20,1095.21,1081.94,10.1,1079.45,1090.72,1088.31,1089.35
15:40:20,1081.94,1088.85,10.1,1092.66,1090.97,1088.5,1089.61
15:40:20,1093.93,1086.96,10.1,1086.96,1091.1,1088.69,1089.79
15:40:20,1092.02,1093.93,10.1,1099.71,1091.16,1088.82,1090.05
15:40:20,1092.02,1090.12,10.1,1090.75,1091.16,1088.82,1089.93
15:40:20,1088.85,1076.97,10.1,1073.27,1091.1,1088.63,1089.86
15:40:20,1078.21,1084.44,10.1,1090.12,1090.97,1088.5,1089.8
15:40:20,1092.02,1086.96,10.1,1084.44,1090.85,1088.31,1089.61
15:40:20,1097.13,1095.21,10.1,1101,1090.85,1088.25,1089.61
15:40:20,1095.85,1095.21,10.1,1095.85,1090.72,1088.06,1089.42
15:40:20,1094.57,1082.56,10.1,1079.45,1090.65,1088.12,1089.42
15:40:20,1088.85,1089.48,10.1,1093.29,1091.35,1088.18,1089.48
15:40:20,1095.21,1087.59,10.1,1088.22,1091.47,1088.25,1089.61
15:40:20,1093.93,1095.21,10.1,1099.71,1091.66,1088.37,1089.61
15:40:20,1093.93,1091.39,10.1,1092.02,1091.86,1088.5,1089.74
15:40:20,1090.12,1078.21,10.1,1074.5,1091.98,1088.63,1089.86
15:40:20,1078.21,1083.82,10.1,1088.85,1091.98,1088.56,1089.73
15:40:20,1090.12,1085.7,10.1,1081.94,1091.79,1088.44,1089.48
15:40:20,1094.57,1093.29,10.1,1099.06,1091.54,1088.25,1089.29
15:40:20,1093.93,1093.93,10.1,1095.21,1091.34,1088.12,1089.22
15:40:20,1095.85,1080.69,10.1,1078.21,1091.47,1087.93,1089.1
15:40:20,1089.48,1090.12,10.1,1093.93,1091.54,1087.99,1089.16
15:40:20,1096.49,1089.48,10.1,1089.48,1091.66,1088.18,1089.29
15:40:20,1096.49,1097.78,10.1,1101.65,1091.92,1088.44,1089.48
15:40:20,1095.21,1093.29,10.1,1094.57,1092.05,1088.63,1089.74
15:40:20,1090.75,1078.83,10.1,1075.11,1092.11,1088.69,1089.8
15:40:20,1085.07,1084.44,10.1,1088.85,1092.8,1088.76,1089.8
15:40:20,1089.48,1085.07,10.1,1082.56,1092.73,1088.69,1089.86
15:40:20,1092.66,1090.75,10.1,1097.13,1092.54,1088.44,1089.67
15:40:20,1093.29,1092.66,10.1,1093.29,1092.48,1088.31,1089.48
15:40:20,1093.29,1080.07,10.1,1076.35,1092.22,1088.25,1089.29
15:40:20,1088.22,1089.48,10.1,1092.66,1092.1,1088.18,1089.17
15:40:20,1094.57,1088.22,10.1,1088.22,1091.9,1088.06,1089.04
15:40:20,1096.49,1097.78,10.1,1102.94,1091.9,1088.06,1089.17
15:40:20,1097.13,1095.21,10.1,1095.21,1092.1,1088.25,1089.23
15:40:20,1092.02,1080.69,10.1,1076.97,1092.22,1088.44,1089.42
15:40:20,1086.96,1086.96,10.1,1090.12,1092.41,1088.69,1089.54
15:40:20,1090.75,1085.7,10.1,1084.44,1092.54,1088.75,1089.73
15:40:20,1092.66,1092.66,10.1,1097.78,1092.54,1088.94,1089.8
15:40:20,1091.39,1091.39,10.1,1092.02,1092.35,1088.81,1089.67
15:40:20,1091.39,1078.21,10.1,1075.11,1092.16,1088.63,1089.55
15:40:20,1086.33,1087.59,10.1,1090.12,1091.97,1088.44,1089.29
15:40:20,1093.29,1086.96,10.1,1086.33,1091.84,1088.31,1089.1
15:40:20,1095.21,1097.13,10.1,1100.35,1091.71,1088.25,1088.84
15:40:20,1097.13,1095.85,10.1,1097.13,1091.71,1088.31,1089.04
15:40:20,1094.57,1082.56,10.1,1078.83,1091.97,1088.5,1089.22
15:40:20,1089.48,1088.22,10.1,1093.29,1092.22,1088.63,1089.54
15:40:20,1093.29,1087.59,10.1,1085.7,1092.47,1088.81,1089.67
15:40:20,1093.93,1093.93,10.1,1099.06,1092.6,1088.94,1089.79
15:40:20,1092.66,1091.39,10.1,1091.39,1092.73,1088.94,1089.73
15:40:20,1089.48,1076.35,10.1,1073.88,1092.54,1088.76,1089.61
15:40:20,1084.44,1085.07,10.1,1088.85,1092.35,1088.5,1089.48
15:40:20,1092.66,1085.7,10.1,1095.85,1092.29,1088.38,1090.43
15:40:21,1094.57,1098.42,10.1,1099.71,1092.22,1088.51,1090.37
15:40:21,1096.49,1094.57,10.1,1096.49,1092.16,1088.38,1090.3
15:40:21,1094.57,1083.82,10.1,1076.97,1092.16,1088.5,1090.12
15:40:21,1090.12,1089.48,10.1,1094.57,1092.22,1088.63,1090.25
15:40:21,1094.57,1088.85,10.1,1097.78,1092.35,1088.76,1091.45
15:40:21,1095.85,1095.21,10.1,1100.35,1092.54,1088.89,1091.58
15:40:21,1093.29,1093.29,10.1,1092.66,1092.6,1089.08,1091.71
15:40:21,1089.48,1076.97,10.1,1074.5,1092.6,1089.14,1091.77
15:40:21,1085.07,1086.96,10.1,1090.12,1092.67,1089.33,1091.9
15:40:21,1090.12,1083.82,10.1,1083.82,1092.41,1089.14,1090.7
15:40:21,1093.93,1095.85,10.1,1098.42,1092.35,1088.88,1090.57
15:40:21,1093.29,1092.66,10.1,1094.57,1092.03,1088.69,1090.37
15:40:21,1093.29,1081.94,10.1,1076.97,1091.9,1088.5,1090.37
15:40:21,1090.12,1088.22,10.1,1093.29,1091.9,1088.38,1090.25
15:40:21,1095.85,1090.75,10.1,1087.59,1092.03,1088.57,1089.23
15:40:21,1097.78,1097.13,10.1,1102.94,1092.22,1088.76,1089.49
15:40:21,1094.57,1095.21,10.1,1095.21,1092.35,1088.95,1089.74
15:40:21,1092.66,1078.83,10.1,1076.97,1092.67,1089.14,1089.99
15:40:21,1085.07,1085.7,10.1,1089.48,1092.67,1089.01,1089.93
15:40:21,1090.75,1083.82,10.1,1093.93,1092.73,1089.01,1090.94
15:40:21,1091.39,1095.21,10.1,1095.21,1092.48,1088.95,1090.62
15:40:21,1092.02,1091.39,10.1,1093.93,1092.35,1088.82,1090.55
15:40:21,1091.39,1080.69,10.1,1074.5,1092.16,1088.69,1090.31
15:40:21,1089.48,1087.59,10.1,1093.29,1092.09,1088.63,1090.31
15:40:21,1095.21,1089.48,10.1,1098.42,1092.03,1088.5,1091.39
15:40:21,1099.06,1099.06,10.1,1102.94,1092.16,1088.7,1091.39
15:40:21,1095.21,1097.13,10.1,1096.49,1092.22,1088.89,1091.52
15:40:21,1093.29,1080.07,10.1,1078.21,1092.29,1089.01,1091.64
15:40:21,1086.33,1088.85,10.1,1090.75,1092.41,1089.33,1091.77
15:40:21,1091.39,1083.82,10.1,1093.93,1092.48,1089.33,1091.77
15:40:21,1092.02,1093.93,10.1,1097.13,1092.54,1089.2,1091.96
15:40:21,1091.39,1090.75,10.1,1091.39,1092.48,1089.14,1091.71
15:40:21,1090.75,1079.45,10.1,1073.27,1092.41,1089.01,1091.58
15:40:21,1086.96,1086.96,10.1,1092.02,1092.16,1088.95,1091.45
15:40:21,1093.93,1087.59,10.1,1096.49,1092.03,1088.76,1091.26
15:40:21,1096.49,1097.13,10.1,1102.29,1091.78,1088.57,1091.2
15:40:21,1095.85,1096.49,10.1,1095.85,1091.84,1088.5,1091.13
15:40:21,1094.57,1081.31,10.1,1079.45,1091.97,1088.63,1091.26
15:40:21,1088.85,1089.48,10.1,1092.66,1092.22,1088.69,1091.45
15:40:21,1093.93,1087.59,10.1,1096.49,1092.47,1089.07,1091.7
15:40:21,1092.66,1095.21,10.1,1098.42,1092.54,1089.2,1091.83
15:40:21,1092.66,1091.39,10.1,1092.02,1092.66,1089.26,1091.9
15:40:21,1089.48,1077.59,10.1,1073.27,1092.54,1089.07,1091.9
15:40:21,1085.7,1083.82,10.1,1089.48,1092.41,1088.76,1091.64
15:40:21,1092.66,1086.96,10.1,1094.57,1092.28,1088.7,1091.45
15:40:21,1094.57,1095.85,10.1,1100.35,1092.09,1088.57,1091.26
15:40:21,1095.85,1096.49,10.1,1095.85,1092.09,1088.57,1091.26
15:40:21,1094.57,1081.31,10.1,1078.83,1092.09,1088.57,1091.19
15:40:21,1090.75,1091.39,10.1,1093.93,1092.28,1088.76,1091.32
15:40:21,1094.57,1088.22,10.1,1098.42,1092.35,1088.82,1091.51
15:40:21,1095.85,1096.49,10.1,1100.35,1092.67,1088.95,1091.71
15:40:21,1093.29,1092.66,10.1,1093.93,1092.73,1089.08,1091.9
15:40:21,1089.48,1078.21,10.1,1073.88,1092.73,1089.14,1091.96
15:40:21,1085.7,1085.07,10.1,1090.12,1092.73,1089.26,1092.02
15:40:21,1090.12,1084.44,10.1,1092.66,1092.48,1089.01,1091.83
15:40:21,1093.29,1095.21,10.1,1099.71,1092.35,1088.95,1091.77
15:40:21,1093.29,1093.29,10.1,1093.29,1092.09,1088.63,1091.51
15:40:21,1092.66,1080.07,10.1,1087.59,1091.9,1088.5,1092.39
15:40:21,1088.85,1095.21,10.1,1092.02,1091.71,1088.89,1092.2
15:40:21,1094.57,1088.85,10.1,1099.06,1091.71,1088.95,1092.26
15:40:21,1096.49,1099.06,10.1,1101,1091.78,1089.21,1092.33
15:40:21,1095.21,1094.57,10.1,1095.85,1091.97,1089.4,1092.52
15:40:21,1092.02,1080.69,10.1,1086.96,1092.22,1089.65,1093.82
15:40:21,1086.96,1086.33,10.1,1090.75,1092.35,1089.77,1093.89
15:40:21,1091.39,1085.07,10.1,1093.29,1092.47,1089.84,1093.95
15:40:21,1090.75,1092.02,10.1,1097.13,1092.22,1089.52,1093.69
15:40:21,1092.66,1092.66,10.1,1093.29,1092.15,1089.45,1093.69
15:40:21,1090.75,1078.21,10.1,1075.11,1091.96,1089.27,1092.45
15:40:21,1088.22,1088.22,10.1,1092.02,1091.9,1088.57,1092.45
15:40:21,1094.57,1088.22,10.1,1097.78,1091.9,1088.5,1092.32
15:40:21,1097.78,1099.71,10.1,1102.29,1092.03,1088.57,1092.45
15:40:21,1097.13,1095.85,10.1,1097.78,1092.22,1088.7,1092.64
15:40:21,1093.93,1081.94,10.1,1078.21,1092.41,1088.82,1091.77
15:40:21,1088.85,1091.39,10.1,1092.66,1092.6,1089.33,1091.96
15:40:21,1084.44,1085.7,10.1,1093.93,1091.91,1089.39,1092.02
15:40:21,1092.02,1092.66,10.1,1098.42,1092.04,1089.45,1092.15
15:40:21,1090.75,1092.02,10.1,1090.75,1091.84,1089.39,1091.89
15:40:21,1088.85,1076.97,10.1,1085.7,1091.65,1089.27,1092.95
15:40:21,1086.96,1093.93,10.1,1090.12,1091.53,1089.84,1092.76
15:40:21,1092.66,1086.96,10.1,1097.13,1091.34,1089.71,1092.7
15:40:21,1096.49,1098.42,10.1,1100.35,1091.21,1089.58,1092.5
15:40:21,1097.13,1095.85,10.1,1098.42,1091.21,1089.58,1092.57
15:40:21,1095.21,1082.56,10.1,1088.22,1091.34,1089.65,1093.57
15:40:21,1089.48,1093.29,10.1,1093.93,1091.4,1089.84,1093.7
15:40:21,1086.96,1088.85,10.1,1096.49,1091.65,1090.15,1093.95
15:40:21,1093.93,1094.57,10.1,1099.71,1091.84,1090.34,1094.08
15:40:21,1092.02,1093.29,10.1,1092.02,1091.97,1090.47,1094.21
15:40:21,1088.85,1076.35,10.1,1083.82,1091.97,1090.41,1094.02
15:40:21,1085.7,1090.75,10.1,1087.59,1091.84,1090.09,1093.77
15:40:21,1086.96,1085.7,10.1,1095.85,1091.27,1089.96,1093.64
15:40:21,1094.57,1095.85,10.1,1098.42,1091.08,1089.71,1093.45
15:40:22,1096.49,1095.21,10.1,1097.13,1091.02,1089.64,1093.32
15:40:22,1093.93,1081.94,10.1,1088.85,1090.89,1089.58,1093.38
15:40:22,1091.39,1095.21,10.1,1095.21,1091.08,1089.77,1093.51
15:40:22,1088.22,1089.48,10.1,1097.78,1091.21,1089.84,1093.64
15:40:22,1096.49,1096.49,10.1,1101.65,1091.46,1090.03,1093.83
15:40:22,1093.93,1093.93,10.1,1093.29,1091.65,1090.09,1093.96
15:40:22,1090.12,1076.97,10.1,1083.82,1091.78,1090.15,1093.96
15:40:22,1086.33,1090.12,10.1,1088.22,1091.84,1090.09,1094.02
15:40:22,1084.44,1083.82,10.1,1093.93,1091.59,1089.9,1093.83
15:40:22,1093.93,1095.85,10.1,1096.49,1091.53,1089.9,1093.64
15:40:22,1094.57,1093.29,10.1,1094.57,1091.33,1089.71,1093.38
15:40:22,1093.29,1081.31,10.1,1086.96,1091.27,1089.65,1093.19
15:40:22,1088.85,1092.66,10.1,1093.29,1091.02,1089.39,1093
15:40:22,1089.48,1090.12,10.1,1099.06,1091.14,1089.46,1093.13
15:40:22,1095.85,1097.13,10.1,1102.29,1091.08,1089.52,1093.19
15:40:22,1095.85,1095.85,10.1,1095.21,1091.27,1089.71,1093.38
15:40:22,1092.02,1079.45,10.1,1086.33,1091.46,1089.96,1093.64
15:40:22,1085.7,1090.75,10.1,1089.48,1091.4,1090.02,1093.76
15:40:22,1086.33,1085.7,10.1,1095.21,1091.59,1090.21,1093.89
15:40:22,1092.02,1093.29,10.1,1097.13,1091.4,1089.96,1093.95
15:40:22,1092.66,1091.39,10.1,1093.29,1091.21,1089.76,1093.83
15:40:22,1091.39,1078.83,10.1,1084.44,1091.01,1089.52,1093.57
15:40:22,1087.59,1092.66,10.1,1092.02,1090.89,1089.52,1093.45
15:40:22,1088.22,1088.85,10.1,1097.13,1090.76,1089.39,1093.25
15:40:22,1097.13,1097.78,10.1,1095.85,1090.89,1089.45,1092.61
15:40:22,1096.49,1096.49,10.1,1096.49,1090.95,1089.52,1092.74
15:40:22,1093.93,1081.31,10.1,1088.22,1091.14,1089.7,1092.93
15:40:22,1088.22,1093.29,10.1,1091.39,1091.4,1089.96,1093.12
15:40:22,1086.96,1085.7,10.1,1095.21,1091.46,1089.96,1093.12
15:40:22,1092.02,1095.21,10.1,1089.48,1091.46,1090.15,1092.35
15:40:22,1091.39,1091.39,10.1,1092.02,1091.33,1090.15,1092.23
15:40:22,1090.12,1078.21,10.1,1083.82,1091.21,1090.09,1092.16
15:40:22,1085.7,1090.75,10.1,1090.75,1091.02,1089.9,1092.04
15:40:22,1087.59,1087.59,10.1,1095.85,1090.95,1089.77,1091.91
15:40:22,1095.85,1097.13,10.1,1101.65,1090.83,1089.71,1092.49
15:40:22,1095.85,1095.21,10.1,1095.85,1090.76,1089.58,1092.42
15:40:22,1093.93,1081.94,10.1,1088.85,1090.76,1089.64,1092.49
