Time ,Sensor 1 ,Sensor 2 , Gear , Sensor 3 , AVERAGE S1 ,AVERAGE S2  , AVERAGE S3
"15:36:37 ,381.87 ,382.19 ,10.1 ,375.45 ,608.89 ,423.62 ,393.48"
"15:36:37, 381.87, 378.86, 10.1, 375.45, 384.84, 384.41, 388.37"
"15:36:37, 379.79, 378.86, 10.1, 382.50, 384.36, 383.94, 383.97"
"15:36:37, 379.79, 381.72, 10.1, 382.50, 383.81, 383.76, 383.43"
"15:36:37, 384.54, 381.72, 10.1, 384.22, 383.74, 383.19, 383.07"
"15:36:37, 384.54, 387.72, 10.1, 385.88, 383.58, 383.21, 382.79"
"15:36:37, 387.48, 384.54, 10.1, 385.88, 383.71, 383.03, 382.79"
"15:36:37, 387.48, 384.54, 10.1, 386.84, 383.79, 382.84, 382.89"
"15:36:37, 383.91, 386.52, 10.1, 386.84, 383.51, 382.88, 383.06"
"15:36:37, 385.25, 386.52, 10.1, 387.96, 383.65, 383.32, 383.35"
"15:36:37, 385.25, 384.38, 10.1, 387.96, 383.99, 383.54, 384.60"
"15:36:37, 382.89, 384.38, 10.1, 382.42, 384.09, 384.09, 385.30"
"15:36:37, 382.89, 383.44, 10.1, 384.38, 384.40, 384.55, 385.49"
"15:36:37, 384.22, 383.44, 10.1, 384.38, 384.84, 384.72, 385.68"
"15:36:37, 384.22, 383.36, 10.1, 378.25, 384.81, 384.88, 385.08"
"15:36:37, 384.30, 381.33, 10.1, 378.25, 384.79, 384.24, 384.32"
"15:36:37, 381.87, 381.33, 10.1, 383.99, 384.23, 383.92, 384.13"
"15:36:37, 381.87, 384.46, 10.1, 383.99, 383.67, 383.91, 383.84"
"15:36:37, 384.69, 384.46, 10.1, 386.04, 383.75, 383.71, 383.76"
"15:36:37, 384.69, 385.64, 10.1, 386.04, 383.69, 383.62, 383.57"
"15:36:37, 385.17, 385.64, 10.1, 383.04, 383.68, 383.75, 383.08"
"15:36:37, 385.17, 383.04, 10.1, 385.72, 383.91, 383.61, 383.41"
"15:36:38, 382.03, 383.75, 10.1, 385.72, 383.82, 383.64, 383.54"
"15:36:38, 384.54, 383.75, 10.1, 385.64, 383.86, 383.68, 383.67"
"15:36:38, 384.54, 386.20, 10.1, 385.64, 383.89, 383.96, 384.41"
"15:36:38, 385.49, 386.20, 10.1, 385.17, 384.01, 384.45, 385.10"
"15:36:38, 385.49, 384.54, 10.1, 385.17, 384.37, 384.77, 385.22"
"15:36:38, 386.28, 384.54, 10.1, 385.41, 384.81, 384.78, 385.36"
"15:36:38, 386.28, 387.08, 10.1, 381.33, 384.97, 385.04, 384.89"
"15:36:38, 385.88, 380.32, 10.1, 381.33, 385.08, 384.51, 384.42"
"15:36:38, 385.88, 380.32, 10.1, 382.19, 385.16, 383.97, 384.33"
"15:36:38, 380.63, 383.51, 10.1, 382.19, 384.70, 384.02, 383.98"
"15:36:38, 382.50, 383.51, 10.1, 384.77, 384.75, 384.00, 383.88"
"15:36:38, 382.50, 382.81, 10.1, 384.77, 384.55, 383.90, 383.80"
"15:36:38, 382.97, 382.81, 10.1, 379.48, 384.39, 383.56, 383.18"
"15:36:38, 382.97, 382.11, 10.1, 386.60, 384.14, 383.16, 383.32"
"15:36:38, 382.50, 382.11, 10.1, 386.60, 383.84, 382.91, 383.47"
"15:36:38, 382.50, 384.69, 10.1, 387.56, 383.46, 382.93, 383.68"
"15:36:38, 387.16, 388.76, 10.1, 387.56, 383.55, 383.10, 384.30"
"15:36:38, 387.56, 388.76, 10.1, 387.64, 383.71, 383.94, 384.93"
"15:36:38, 387.56, 386.60, 10.1, 387.64, 383.88, 384.57, 385.48"
"15:36:38, 385.96, 386.60, 10.1, 386.20, 384.42, 384.88, 385.88"
"15:36:38, 385.96, 385.01, 10.1, 386.20, 384.76, 385.03, 386.02"
"15:36:38, 383.44, 385.01, 10.1, 378.48, 384.86, 385.25, 385.39"
"15:36:38, 383.44, 378.41, 10.1, 380.17, 384.90, 384.81, 385.46"
"15:36:38, 378.10, 381.18, 10.1, 380.17, 384.42, 384.71, 384.82"
"15:36:38, 378.10, 381.18, 10.1, 383.28, 383.98, 384.62, 384.49"
"15:36:38, 382.19, 383.83, 10.1, 383.28, 383.95, 384.53, 384.06"
"15:36:38, 385.17, 383.83, 10.1, 382.26, 383.75, 384.04, 383.53"
"15:36:38, 385.17, 384.22, 10.1, 382.26, 383.51, 383.58, 382.99"
"15:36:38, 385.41, 384.22, 10.1, 388.36, 383.29, 383.35, 383.07"
"15:36:38, 385.41, 387.80, 10.1, 389.08, 383.24, 383.47, 383.36"
"15:36:38, 386.68, 387.08, 10.1, 389.08, 383.31, 383.67, 383.64"
"15:36:38, 386.68, 387.08, 10.1, 385.56, 383.63, 383.88, 384.35"
"15:36:38, 385.88, 384.69, 10.1, 385.56, 383.88, 384.51, 384.89"
"15:36:38, 383.67, 384.69, 10.1, 384.38, 384.43, 384.86, 385.31"
"15:36:38, 383.67, 382.97, 10.1, 384.38, 384.99, 385.04, 385.42"
"15:36:38, 383.04, 382.97, 10.1, 377.57, 385.08, 384.95, 384.85"
"15:36:38, 383.04, 379.48, 10.1, 381.64, 384.86, 384.52, 384.79"
"15:36:38, 379.55, 379.48, 10.1, 381.64, 384.30, 384.04, 384.73"
"15:36:38, 379.55, 382.73, 10.1, 385.49, 383.72, 383.90, 384.44"
"15:36:38, 385.01, 386.28, 10.1, 385.49, 383.68, 383.74, 384.08"
"15:36:38, 385.64, 386.28, 10.1, 383.67, 383.58, 383.66, 383.54"
"15:36:38, 385.64, 383.91, 10.1, 383.67, 383.47, 383.35, 383.35"
"15:36:38, 384.38, 383.91, 10.1, 387.16, 383.32, 383.27, 383.51"
"15:36:38, 384.38, 386.12, 10.1, 387.16, 383.39, 383.41, 383.79"
"15:36:38, 384.14, 386.12, 10.1, 386.84, 383.44, 383.73, 384.03"
"15:36:38, 384.14, 384.54, 10.1, 383.51, 383.55, 383.88, 384.63"
"15:36:38, 384.62, 384.14, 10.1, 383.51, 383.71, 384.35, 384.81"
"15:36:38, 384.06, 384.14, 10.1, 384.46, 384.16, 384.82, 385.09"
"15:36:38, 384.06, 384.77, 10.1, 384.46, 384.61, 385.02, 384.99"
"15:36:38, 386.44, 384.77, 10.1, 380.25, 384.75, 384.87, 384.47"
"15:36:38, 386.44, 381.87, 10.1, 380.25, 384.83, 384.43, 384.13"
"15:36:38, 381.87, 381.87, 10.1, 383.67, 384.45, 384.23, 384.13"
"15:36:38, 381.87, 384.46, 10.1, 385.80, 384.20, 384.28, 383.99"
"15:36:38, 383.44, 384.06, 10.1, 385.80, 384.11, 384.08, 383.86"
"15:36:38, 383.44, 384.06, 10.1, 381.56, 384.04, 383.87, 383.33"
"15:36:38, 384.30, 382.19, 10.1, 381.56, 384.05, 383.63, 383.13"
"15:36:38, 380.94, 382.19, 10.1, 384.69, 383.69, 383.44, 383.25"
"15:36:38, 380.94, 383.12, 10.1, 384.69, 383.37, 383.34, 383.27"
"15:36:38, 385.33, 383.12, 10.1, 386.28, 383.50, 383.17, 383.46"
"15:36:38, 385.33, 386.52, 10.1, 384.77, 383.39, 383.35, 383.91"
"15:36:38, 385.33, 386.52, 10.1, 384.77, 383.28, 383.81, 384.36"
"15:36:38, 385.33, 385.49, 10.1, 387.88, 383.62, 384.17, 384.78"
"15:36:38, 388.44, 388.28, 10.1, 387.88, 384.28, 384.55, 384.99"
"15:36:38, 385.41, 388.28, 10.1, 381.02, 384.48, 384.98, 384.51"
"15:36:38, 385.41, 379.86, 10.1, 381.02, 384.67, 384.56, 384.46"
"15:36:38, 380.48, 379.86, 10.1, 382.34, 384.29, 384.32, 384.54"
"15:36:38, 380.48, 383.20, 10.1, 382.34, 384.25, 384.42, 384.30"
"15:36:38, 380.87, 383.20, 10.1, 383.20, 384.24, 384.43, 384.15"
"15:36:38, 380.87, 381.41, 10.1, 380.56, 383.79, 384.26, 383.58"
"15:36:38, 383.91, 383.12, 10.1, 380.56, 383.65, 383.92, 383.16"
"15:36:38, 383.91, 383.12, 10.1, 384.93, 383.51, 383.58, 383.17"
"15:36:38, 381.64, 384.93, 10.1, 384.93, 383.14, 383.53, 382.88"
"15:36:38, 387.80, 384.93, 10.1, 388.84, 383.08, 383.19, 382.97"
"15:36:38, 387.80, 388.20, 10.1, 388.84, 383.31, 383.18, 383.76"
"15:36:38, 386.04, 388.20, 10.1, 386.20, 383.38, 384.02, 384.27"
"15:36:38, 386.04, 385.88, 10.1, 386.68, 383.93, 384.62, 384.71"
"15:36:38, 386.92, 385.88, 10.1, 386.68, 384.58, 384.89, 385.14"
"15:36:38, 386.92, 385.88, 10.1, 378.94, 385.18, 385.16, 384.72"
"15:36:38, 383.44, 378.79, 10.1, 378.94, 385.44, 384.89, 384.55"
"15:36:38, 379.55, 378.79, 10.1, 381.25, 385.00, 384.46, 384.62"
"15:36:38, 379.55, 381.80, 10.1, 381.25, 384.57, 384.33, 384.26"
"15:36:38, 381.33, 381.80, 10.1, 382.81, 384.54, 384.01, 384.04"
"15:36:38, 381.33, 383.83, 10.1, 383.20, 383.89, 383.90, 383.48"
"15:36:38, 386.44, 383.83, 10.1, 383.20, 383.76, 383.47, 382.92"
"15:36:38, 386.44, 384.54, 10.1, 387.40, 383.80, 383.10, 383.03"
"15:36:38, 384.38, 386.60, 10.1, 387.40, 383.63, 383.17, 383.11"
"15:36:38, 385.80, 386.60, 10.1, 387.72, 383.52, 383.24, 383.21"
"15:36:38, 385.80, 385.96, 10.1, 387.72, 383.41, 383.25, 384.09"
"15:36:38, 384.77, 385.96, 10.1, 384.85, 383.54, 383.97, 384.68"
"15:36:38, 384.77, 383.99, 10.1, 383.91, 384.06, 384.49, 384.94"
"15:36:38, 383.83, 383.99, 10.1, 383.91, 384.49, 384.71, 385.21"
"15:36:39, 383.83, 383.59, 10.1, 378.25, 384.74, 384.89, 384.75"
"15:36:39, 383.99, 379.86, 10.1, 378.25, 385.00, 384.49, 384.26"
"15:36:39, 383.99, 379.86, 10.1, 382.50, 384.76, 384.09, 384.19"
"15:36:39, 381.49, 384.85, 10.1, 382.50, 384.26, 384.13, 383.70"
"15:36:39, 385.17, 384.85, 10.1, 387.24, 384.34, 383.95, 383.68"
"15:36:39, 385.17, 386.04, 10.1, 387.24, 384.28, 383.90, 383.64"
"15:36:39, 385.41, 386.04, 10.1, 382.73, 384.24, 383.90, 383.14"
"15:36:39, 385.41, 383.67, 10.1, 387.40, 384.30, 383.67, 383.39"
"15:36:39, 383.59, 384.85, 10.1, 387.40, 384.19, 383.76, 383.74"
"15:36:39, 383.59, 384.85, 10.1, 385.01, 384.16, 383.85, 383.85"
"15:36:39, 382.73, 383.36, 10.1, 385.01, 384.05, 383.82, 384.53"
"15:36:39, 384.22, 383.36, 10.1, 383.51, 384.08, 384.17, 385.05"
"15:36:39, 384.22, 383.59, 10.1, 383.51, 384.10, 384.55, 385.15"
"15:36:39, 383.99, 383.59, 10.1, 383.28, 384.35, 384.42, 385.23"
"15:36:39, 383.99, 385.88, 10.1, 382.19, 384.23, 384.52, 384.73"
"15:36:39, 387.64, 385.88, 10.1, 382.19, 384.48, 384.51, 384.22"
"15:36:39, 387.64, 382.11, 10.1, 384.14, 384.70, 384.11, 384.36"
"15:36:39, 382.11, 385.49, 10.1, 384.14, 384.37, 384.30, 384.04"
"15:36:39, 384.38, 385.49, 10.1, 386.28, 384.45, 384.36, 383.93"
"15:36:39, 384.38, 384.54, 10.1, 386.28, 384.53, 384.33, 384.05"
"15:36:39, 382.97, 384.54, 10.1, 381.25, 384.55, 384.45, 383.68"
"15:36:39, 382.97, 381.02, 10.1, 381.25, 384.43, 384.21, 383.45"
"15:36:39, 381.10, 381.02, 10.1, 384.22, 384.11, 383.95, 383.52"
"15:36:39, 381.10, 382.97, 10.1, 385.25, 383.83, 383.89, 383.72"
"15:36:39, 384.14, 385.88, 10.1, 385.25, 383.84, 383.89, 384.03"
"15:36:39, 386.04, 385.88, 10.1, 385.33, 383.68, 383.89, 384.34"
"15:36:39, 386.04, 386.52, 10.1, 385.33, 383.52, 384.33, 384.46"
"15:36:39, 387.88, 386.52, 10.1, 387.40, 384.10, 384.44, 384.78"
"15:36:39, 387.88, 386.68, 10.1, 387.40, 384.45, 384.56, 384.89"
"15:36:39, 384.77, 386.68, 10.1, 380.17, 384.49, 384.77, 384.28"
"15:36:39, 384.77, 380.40, 10.1, 382.57, 384.67, 384.36, 384.42"
"15:36:39, 380.71, 382.89, 10.1, 382.57, 384.44, 384.54, 384.55"
"15:36:39, 380.71, 382.89, 10.1, 383.28, 384.40, 384.73, 384.45"
"15:36:39, 381.25, 382.89, 10.1, 383.28, 384.42, 384.72, 384.26"
"15:36:39, 384.77, 382.89, 10.1, 381.64, 384.48, 384.42, 383.90"
"15:36:39, 384.77, 382.65, 10.1, 381.64, 384.36, 384.10, 383.53"
"15:36:39, 382.81, 382.65, 10.1, 385.33, 384.03, 383.71, 383.53"
"15:36:39, 382.81, 386.44, 10.1, 389.65, 383.53, 383.71, 383.75"
"15:36:39, 387.72, 386.44, 10.1, 389.65, 383.51, 383.68, 383.98"
"15:36:39, 387.72, 387.48, 10.1, 385.49, 383.80, 383.76, 384.51"
"15:36:39, 385.49, 385.01, 10.1, 385.49, 383.88, 384.22, 384.80"
"15:36:39, 385.25, 385.01, 10.1, 385.49, 384.33, 384.43, 385.09"
"15:36:39, 385.25, 384.22, 10.1, 385.49, 384.78, 384.57, 385.31"
"15:36:39, 382.73, 384.22, 10.1, 377.57, 384.93, 384.70, 384.74"
"15:36:39, 382.73, 378.48, 10.1, 377.57, 384.73, 384.26, 384.33"
"15:36:39, 379.55, 378.48, 10.1, 381.41, 384.21, 383.84, 384.31"
"15:36:39, 379.55, 382.42, 10.1, 383.83, 383.88, 383.82, 384.16"
"15:36:39, 383.36, 385.80, 10.1, 383.83, 383.93, 383.76, 383.58"
"15:36:39, 383.36, 385.80, 10.1, 385.01, 383.50, 383.69, 383.11"
"15:36:39, 387.24, 385.01, 10.1, 385.01, 383.45, 383.45, 383.07"
"15:36:39, 384.46, 385.01, 10.1, 387.96, 383.35, 383.45, 383.31"
"15:36:39, 384.46, 386.28, 10.1, 387.96, 383.27, 383.57, 383.56"
"15:36:39, 385.01, 386.28, 10.1, 387.24, 383.24, 383.78, 383.74"
"15:36:39, 385.01, 385.56, 10.1, 384.54, 383.47, 383.91, 384.43"
"15:36:39, 384.62, 383.59, 10.1, 384.54, 383.66, 384.42, 385.13"
"15:36:39, 384.62, 383.59, 10.1, 382.73, 384.17, 384.94, 385.26"
"15:36:39, 382.50, 382.81, 10.1, 382.73, 384.46, 384.97, 385.15"
"15:36:39, 384.38, 382.81, 10.1, 378.48, 384.56, 384.67, 384.62"
"15:36:39, 384.38, 380.09, 10.1, 378.48, 384.67, 384.10, 383.97"
"15:36:39, 381.02, 380.09, 10.1, 382.65, 384.04, 383.61, 383.73"
"15:36:39, 381.02, 384.93, 10.1, 387.08, 383.70, 383.60, 383.64"
"15:36:39, 385.96, 384.93, 10.1, 387.08, 383.85, 383.47, 383.55"
"15:36:39, 385.96, 386.52, 10.1, 383.44, 383.95, 383.49, 383.17"
"15:36:39, 385.25, 383.99, 10.1, 383.44, 383.97, 383.34, 383.06"
"15:36:39, 384.46, 383.99, 10.1, 387.40, 383.95, 383.37, 383.35"
"15:36:39, 384.46, 385.49, 10.1, 387.40, 383.94, 383.56, 383.82"
"15:36:39, 382.50, 385.49, 10.1, 385.49, 383.94, 383.83, 384.09"
"15:36:39, 382.50, 383.04, 10.1, 385.49, 383.75, 383.86, 384.79"
"15:36:39, 384.30, 383.04, 10.1, 382.65, 383.74, 384.15, 385.21"
"15:36:39, 384.30, 383.83, 10.1, 384.46, 384.07, 384.52, 385.39"
"15:36:39, 384.54, 385.49, 10.1, 384.46, 384.42, 384.58, 385.13"
"15:36:39, 384.54, 385.49, 10.1, 380.94, 384.28, 384.63, 384.51"
"15:36:39, 386.84, 382.19, 10.1, 380.94, 384.37, 384.20, 384.27"
"15:36:39, 380.94, 382.19, 10.1, 383.83, 383.94, 384.02, 384.30"
"15:36:39, 380.94, 383.44, 10.1, 383.83, 383.58, 383.97, 383.95"
"15:36:39, 384.30, 383.44, 10.1, 385.01, 383.57, 383.76, 383.71"
"15:36:39, 384.30, 385.09, 10.1, 381.72, 383.75, 383.72, 383.33"
"15:36:39, 383.51, 381.18, 10.1, 381.72, 383.85, 383.53, 382.96"
"15:36:39, 383.51, 381.18, 10.1, 384.85, 383.77, 383.35, 383.18"
"15:36:39, 382.03, 385.01, 10.1, 384.85, 383.55, 383.47, 383.22"
"15:36:39, 385.09, 385.01, 10.1, 386.60, 383.60, 383.42, 383.43"
"15:36:39, 385.09, 386.04, 10.1, 386.60, 383.66, 383.47, 383.99"
"15:36:39, 387.16, 386.04, 10.1, 386.28, 383.69, 383.86, 384.53"
"15:36:39, 387.16, 387.00, 10.1, 386.76, 384.31, 384.34, 384.82"
"15:36:39, 385.88, 384.77, 10.1, 386.76, 384.80, 384.47, 385.11"
"15:36:39, 385.88, 384.77, 10.1, 379.25, 384.96, 384.61, 384.54"
