Time ,Sensor 1 ,Sensor 2 , Gear , Sensor 3 , AVERAGE S1 , AVERAGE S2  , AVERAGE S3
"15:39:02, 776.08, 774.79, 10.1, 775.11, 770.68, 771.22, 771.43"
"15:39:02, 775.76, 775.76, 10.1, 763.75, 771.28, 771.35, 770.17"
"15:39:02, 76.40, 777.69, 10.1, 779.63, 770.58, 770.78, 770.96"
"15:39:02, 776.08, 774.79, 10.1, 775.11, 770.68, 771.22, 771.43"
"15:39:02, 775.76, 775.76, 10.1, 763.75, 771.28, 771.35, 770.17"
"15:39:02, 2496.67, 1171.14, 10.1, 15889.83, 2496.67, 1171.14, 15889.83"
"15:39:03, 770.65, 770.02, 10.1, 758.80, 1633.66, 970.58, 8324.32"
"15:39:03, 763.75, 762.20, 10.1, 767.50, 1343.69, 901.12, 5805.38"
"15:39:03, 770.02, 769.07, 10.1, 772.88, 1200.27, 868.11, 4547.25"
"15:39:03, 774.79, 774.15, 10.1, 769.70, 1115.18, 849.32, 3791.74"
"15:39:03, 770.97, 776.40, 10.1, 777.36, 1057.81, 837.16, 3289.35"
"15:39:03, 777.36, 777.69, 10.1, 780.27, 1017.75, 828.67, 2930.91"
"15:39:03, 775.76, 774.79, 10.1, 775.43, 987.50, 821.93, 2661.47"
"15:39:03, 773.83, 772.24, 10.1, 760.96, 963.76, 816.41, 2450.30"
"15:39:03, 771.60, 762.51, 10.1, 765.93, 944.54, 811.02, 2281.87"
"15:39:03, 765.93, 765.93, 10.1, 768.44, 771.47, 770.50, 769.73"
"15:39:03, 770.02, 768.76, 10.1, 764.68, 771.40, 770.37, 770.32"
"15:39:03, 765.31, 765.31, 10.1, 771.60, 771.56, 770.68, 770.73"
"15:39:03, 771.92, 773.51, 10.1, 775.43, 771.75, 771.13, 770.98"
"15:39:03, 773.83, 773.83, 10.1, 772.24, 771.65, 771.10, 771.24"
"15:39:03, 774.15, 773.51, 10.1, 774.15, 771.97, 770.81, 770.92"
"15:39:03, 774.79, 766.24, 10.1, 770.97, 771.72, 769.66, 769.99"
"15:39:03, 766.56, 771.60, 10.1, 774.47, 770.80, 769.35, 769.89"
"15:39:03, 775.11, 775.43, 10.1, 770.65, 770.92, 769.66, 770.86"
"15:39:03, 769.39, 770.65, 10.1, 775.76, 770.70, 770.48, 771.84"
"15:39:03, 772.56, 772.88, 10.1, 776.40, 771.36, 771.17, 772.64"
"15:39:03, 770.97, 770.02, 10.1, 769.70, 771.46, 771.30, 773.14"
"15:39:03, 769.07, 768.13, 10.1, 770.02, 771.84, 771.58, 772.98"
"15:39:03, 768.13, 760.34, 10.1, 756.96, 771.46, 770.27, 771.13"
"15:39:03, 760.96, 766.24, 10.1, 769.70, 770.17, 769.51, 770.88"
"15:39:03, 773.51, 772.24, 10.1, 768.13, 770.11, 769.38, 770.28"
"15:39:03, 770.65, 769.70, 10.1, 776.72, 769.69, 769.72, 770.85"
"15:39:03, 776.08, 776.40, 10.1, 780.27, 770.64, 770.20, 771.43"
"15:39:03, 776.40, 776.40, 10.1, 774.47, 770.77, 770.30, 771.81"
"15:39:03, 776.08, 774.79, 10.1, 777.36, 771.44, 770.71, 771.97"
"15:39:03, 772.56, 763.75, 10.1, 761.89, 771.44, 769.80, 770.52"
"15:39:03, 763.44, 767.81, 10.1, 770.34, 770.69, 769.58, 770.59"
"15:39:03, 769.70, 770.02, 10.1, 765.31, 770.75, 769.77, 770.12"
"15:39:03, 765.62, 765.31, 10.1, 771.60, 770.50, 770.27, 771.58"
"15:39:03, 771.29, 771.29, 10.1, 775.11, 771.53, 770.77, 772.12"
"15:39:03, 770.65, 770.65, 10.1, 769.39, 771.25, 770.61, 772.25"
"15:39:03, 772.56, 772.56, 10.1, 772.56, 771.44, 770.90, 771.83"
"15:39:03, 772.24, 763.75, 10.1, 760.96, 771.05, 769.63, 769.90"
"15:39:04, 764.68, 770.34, 10.1, 768.76, 769.88, 769.03, 769.33"
"15:39:04, 771.29, 775.11, 10.1, 771.29, 769.40, 769.06, 768.72"
"15:39:04, 771.92, 771.60, 10.1, 777.69, 769.34, 769.84, 770.30"
"15:39:04, 775.43, 776.72, 10.1, 779.95, 770.54, 770.73, 771.26"
"15:39:04, 773.51, 775.76, 10.1, 772.88, 770.92, 771.31, 772.02"
"15:39:04, 770.97, 769.39, 10.1, 771.92, 771.46, 771.72, 772.05"
"15:39:04, 768.44, 759.42, 10.1, 757.58, 771.17, 770.53, 770.30"
"15:39:04, 759.72, 765.31, 10.1, 764.06, 770.08, 769.99, 769.76"
"15:39:04, 765.31, 768.76, 10.1, 765.31, 769.35, 769.61, 769.04"
"15:39:04, 770.97, 767.18, 10.1, 774.47, 769.23, 769.96, 770.39"
"15:39:04, 775.11, 774.79, 10.1, 778.65, 770.27, 770.40, 771.38"
"15:39:04, 776.72, 776.40, 10.1, 775.43, 770.81, 770.53, 771.79"
"15:39:04, 776.08, 776.08, 10.1, 776.40, 771.23, 770.98, 771.66"
"15:39:04, 774.79, 766.24, 10.1, 763.44, 771.16, 769.93, 770.01"
"15:39:04, 765.62, 770.34, 10.1, 770.34, 770.37, 769.39, 769.76"
"15:39:04, 769.07, 770.97, 10.1, 766.87, 770.18, 769.55, 769.25"
"15:39:04, 771.60, 767.18, 10.1, 772.88, 770.50, 770.33, 770.78"
"15:39:04, 770.97, 771.29, 10.1, 774.79, 771.62, 770.92, 771.86"
"15:39:04, 770.97, 771.92, 10.1, 770.02, 772.19, 771.24, 772.33"
"15:39:04, 770.65, 771.29, 10.1, 770.97, 772.16, 771.65, 771.98"
"15:39:04, 770.02, 762.51, 10.1, 758.19, 771.65, 770.42, 769.93"
"15:39:04, 763.44, 769.39, 10.1, 768.13, 770.32, 769.72, 769.20"
"15:39:04, 769.70, 772.88, 10.1, 768.76, 769.68, 769.40, 768.44"
"15:39:04, 774.47, 771.29, 10.1, 778.33, 769.65, 769.90, 769.93"
"15:39:04, 772.24, 777.36, 10.1, 780.60, 770.31, 770.61, 770.95"
"15:39:04, 776.08, 777.69, 10.1, 775.11, 771.02, 771.28, 771.78"
"15:39:04, 774.47, 775.43, 10.1, 775.76, 771.30, 772.10, 772.07"
"15:39:04, 770.97, 760.96, 10.1, 760.34, 771.30, 771.07, 770.62"
"15:39:04, 760.34, 765.62, 10.1, 764.37, 770.24, 770.44, 770.06"
"15:39:04, 765.31, 768.44, 10.1, 768.44, 769.70, 770.16, 769.80"
"15:39:04, 769.07, 764.68, 10.1, 770.97, 769.61, 770.37, 771.08"
"15:39:04, 765.31, 771.60, 10.1, 776.40, 769.80, 770.60, 771.91"
"15:39:04, 774.47, 775.11, 10.1, 773.51, 770.27, 770.82, 772.38"
"15:39:04, 775.11, 774.15, 10.1, 774.79, 770.34, 771.11, 772.03"
"15:39:04, 775.11, 766.56, 10.1, 764.37, 770.62, 770.03, 770.41"
"15:39:04, 766.24, 771.29, 10.1, 770.34, 769.64, 769.39, 769.93"
"15:39:04, 771.29, 774.47, 10.1, 774.47, 769.32, 769.29, 769.80"
"15:39:04, 774.47, 769.39, 10.1, 769.70, 769.67, 770.13, 770.74"
